2017-10-29 23:11:51
  Time(s)|    ax(g)|    ay(g)|    az(g)|wx(deg/s)|wy(deg/s)|wz(deg/s)|AglX(deg)|AglY(deg)|AglZ(deg)|
    0.021|   -0.013|    0.154|    0.876|   20.016|    1.099|    5.922|    8.633|   -0.401|   -0.478|
    0.042|   -0.005|    0.143|   -0.004|   17.516|    1.404|   -0.427|    9.031|   -0.401|   -0.390|
    0.063|   -0.019|    0.157|   -0.001|   -7.812|    3.051|   -1.587|   -0.406|   -0.352|   -0.417|
    0.084|   -0.022|    0.173|    0.882|    2.441|    3.113|    0.977|   -0.258|   -0.286|   -0.428|
    0.105|   -0.022|    0.167|    0.886|    1.525|    3.418|    1.709|   -0.187|   -0.225|   -0.390|
    0.126|   -0.019|    0.167|    0.904|    0.793|    3.662|    1.465|   -0.137|   -0.159|   -0.346|
    0.147|   -0.020|    0.162|    0.896|   -0.305|    1.037|    0.366|   -0.121|   -0.115|   -0.308|
    0.168|   -0.023|    0.165|    0.881|    0.305|    0.183|   -0.244|   -0.093|   -0.093|   -0.308|
    0.189|   -0.022|    0.165|    0.885|   -1.221|   -0.427|    0.366|   -0.093|   -0.093|   -0.302|
    0.210|   -0.021|    0.167|    0.885|   -3.479|    0.183|    1.587|   -0.121|   -0.093|   -0.291|
    0.231|   -0.021|    0.162|    0.888|   -7.324|   -0.122|    2.502|   -0.231|   -0.099|   -0.242|
    0.252|    0.024|   -0.046|   -0.005|   -8.664|   -0.610|    2.686|   -0.313|   -0.110|   -0.214|
    0.273|   -0.021|    0.150|    0.896|   -8.609|   -1.831|    2.137|   -0.566|   -0.170|   -0.154|
    0.294|   -0.021|    0.154|    0.889|   -7.020|   -1.648|    1.770|    9.070|   -0.225|   -0.110|
    0.315|   -0.019|    0.152|    0.890|   -6.652|   -1.404|    2.014|    9.008|   -0.242|   -0.088|
    0.336|   -0.020|    0.155|    0.890|   -5.738|   -1.160|    1.709|    8.906|   -0.269|   -0.060|
    0.357|   -0.014|    0.146|    0.892|   -3.113|   -1.281|    0.732|    8.836|   -0.297|   -0.038|
    0.378|   -0.016|    0.146|    0.894|   -1.831|   -1.037|    0.244|    8.812|   -0.313|   -0.033|
