2017-10-29 23:11:51
  Time(s)|    ax(g)|    ay(g)|    az(g)|wx(deg/s)|wy(deg/s)|wz(deg/s)|AglX(deg)|AglY(deg)|AglZ(deg)|
    0.399|   -0.020|    0.143|    0.886|   -1.465|   -0.427|   -1.099|    8.789|   -0.346|   -0.044|
    0.420|   -0.018|    0.147|    0.890|    0.061|    0.000|    0.000|    8.742|   -0.352|   -0.060|
    0.441|   -0.017|    0.147|    0.886|   -1.648|   -0.549|   -0.610|    8.734|   -0.357|   -0.071|
    0.462|   -0.015|    0.145|    0.885|   -1.404|   -0.244|   -0.427|    8.719|   -0.363|   -0.082|
    0.483|   -0.017|    0.146|    0.889|   -3.967|   -0.732|   -1.160|    8.648|   -0.379|   -0.121|
    0.504|   -0.014|    0.143|    0.887|   -6.164|   -0.366|   -0.183|    8.547|   -0.385|   -0.126|
    0.525|   -0.014|    0.143|    0.887|   -6.164|   -0.366|   -0.183|    8.547|   -0.385|   -0.126|
    0.546|   -0.013|    0.138|    0.891|   -8.180|   -0.671|   -0.549|   -0.033|   -0.396|   -0.137|
    0.567|   -0.013|    0.136|    0.890|   -7.875|   -1.099|   -1.587|   -0.275|   -0.428|   -0.170|
    0.588|   -0.015|    0.134|    0.885|   -8.789|   -1.037|   -2.930|   -0.428|   -0.445|   -0.231|
    0.609|    0.025|   -0.049|   -0.006|   -9.523|   -1.587|   -3.662|    7.707|   -0.478|   -0.335|
    0.630|   -0.015|   -0.006|    0.896|   -7.691|   -0.977|   -2.562|    7.469|   -0.500|   -0.439|
    0.651|   -0.011|   -0.006|    0.895|   -6.898|   -1.221|   -3.234|    7.328|   -0.517|   -0.494|
    0.672|   -0.016|   -0.007|    0.890|   -6.469|   -1.221|   -4.211|    7.207|   -0.533|   -0.582|
    0.693|   -0.013|   -0.010|    0.893|   -8.422|   -0.916|   -3.723|    7.059|   -0.544|   -0.665|
    0.714|   -0.019|   -0.025|    0.897|   -1.525|   -1.465|   -7.078|   -2.713|   -1.356|    0.011|
    0.736|   -0.015|   -0.019|    0.915|   -0.244|   -0.854|   -4.578|   -0.346|   -0.571|   -2.246|
    0.756|   -0.016|   -0.023|    0.901|   -0.244|   -0.854|   -4.578|   -0.505|   -0.571|   -2.291|
    0.778|   -0.014|   -0.026|    0.896|   -5.617|   -0.427|   -3.967|    6.258|   -0.571|   -2.434|
    0.799|   -0.015|   -0.029|    0.895|    0.000|    0.000|    0.061|    6.129|   -0.571|   -2.533|
    0.820|   -0.017|   -0.025|    0.891|   -8.664|   -0.854|   -6.531|    5.965|   -0.571|   -2.664|
    0.841|   -0.010|   -0.031|    0.885|   -9.398|   -0.488|   -3.906|    5.664|   -0.577|   -2.807|
    0.862|    0.022|   -0.049|   -0.006|   -7.508|   -0.427|   -4.090|   -0.033|   -0.577|   -0.038|
    0.883|   -0.013|   -0.042|    0.906|  -12.758|   -0.366|   -4.332|   -0.258|   -0.577|   -0.126|
    0.904|   -0.014|   -0.045|    0.899|   -9.398|   -0.244|   -3.723|   -0.357|   -0.577|   -0.165|
    0.925|   -0.014|   -0.046|    0.894|   -7.750|   -0.488|   -5.188|   -0.511|   -0.582|   -0.258|
    0.946|   -0.015|   -0.057|    0.895|   -9.523|   -0.305|   -4.820|   -0.610|   -0.577|   -0.308|
    0.967|   -0.016|   -0.050|    0.899|   -9.523|   -0.488|   -4.211|    4.816|   -0.577|   -0.390|
    0.988|   -0.014|   -0.050|    0.904|   -6.715|   -0.183|   -2.197|    4.574|   -0.571|   -0.478|
    1.009|   -0.011|   -0.061|    0.893|   -6.652|   -0.366|   -1.343|    4.484|   -0.577|   -0.522|
    1.030|   -0.010|   -0.061|    0.896|   -5.125|   -0.305|   -2.441|    4.277|   -0.582|   -0.593|
    1.051|   -0.010|    0.062|    0.895|   -4.395|   -0.061|   -2.686|   -0.093|   -0.582|   -0.670|
    1.072|   -0.015|   -0.052|    0.886|   -5.066|   -0.305|   -3.234|   -0.187|   -0.582|   -3.537|
    1.093|   -0.013|    0.051|    0.912|   -0.061|    0.061|    0.000|   -0.324|   -0.588|   -3.604|
    1.114|   -0.012|    0.058|    0.899|   -6.410|   -0.244|   -2.441|   -0.500|   -0.588|   -3.652|
    1.135|   -0.016|    0.057|    0.897|   -3.174|   -0.183|   -2.625|   -0.621|   -0.593|   -3.697|
    1.156|   -0.012|    0.057|    0.897|   -3.174|   -0.183|   -2.625|   -0.648|   -0.593|   -3.725|
    1.177|   -0.011|    0.054|    0.894|   -3.174|   -0.122|   -1.221|    3.504|   -0.593|   -3.758|
    1.198|   -0.011|    0.053|    0.898|   -3.967|    0.000|   -0.793|    3.428|   -0.599|   -3.773|
    1.219|   -0.012|    0.042|    0.903|   -9.094|    0.122|   -0.305|    3.203|   -0.599|   -3.785|
    1.240|   -0.012|    0.042|    0.903|   -9.094|    0.122|   -0.305|    3.203|   -0.599|   -3.785|
    1.261|    0.021|   -0.047|   -0.005|   -5.492|    0.427|   -0.610|    3.143|   -0.593|   -3.791|
    1.282|   -0.008|    0.038|    0.904|   -6.469|   -0.305|   -1.709|    2.977|   -0.599|   -3.834|
    1.303|   -0.012|    0.040|    0.897|   -2.197|    0.061|   -0.244|   -2.719|   -1.352|    0.011|
    1.324|   -0.016|    0.049|    0.889|   -2.014|    0.061|   -0.244|   -0.005|   -0.593|   -3.906|
    1.345|   -0.013|    0.044|    0.889|   -4.699|    0.000|   -0.183|   -0.066|   -0.593|   -3.906|
    1.366|   -0.003|    0.027|    0.900|   -3.234|   -0.916|   -2.014|   -0.319|   -0.621|   -3.934|
    1.387|   -0.012|    0.036|    0.899|    0.000|   -0.061|    0.000|   -0.357|   -0.637|   -3.955|
    1.408|   -0.012|    0.036|    0.899|    0.000|   -0.061|    0.000|   -0.357|   -0.637|   -3.955|
    1.429|    0.024|   -0.047|   -0.006|   -4.883|   -1.221|   -2.502|   -0.467|   -0.654|   -4.070|
    1.450|   -0.012|    0.035|    0.897|   -2.990|   -0.610|   -0.793|   -0.544|   -0.670|   -4.086|
    1.471|   -0.014|    0.034|    0.896|   -4.762|   -1.160|   -2.809|   -0.681|   -0.703|   -4.133|
    1.492|   -0.009|    0.024|    0.903|   -5.188|   -1.281|   -4.457|    2.082|    0.692|   -4.176|
    1.513|    0.022|   -0.046|   -0.008|   -5.676|   -1.404|   -3.479|    2.016|    0.676|   -4.215|
    1.534|    0.023|   -0.046|   -0.005|   -3.051|   -0.671|   -0.977|    1.912|    0.659|   -0.060|
    1.555|   -0.010|    0.023|    0.899|   -5.492|   -1.343|   -2.320|    1.736|    0.615|   -0.159|
    1.576|   -0.007|    0.021|    0.896|   -3.846|   -0.977|   -0.610|    1.643|    0.593|   -0.181|
    1.597|   -0.008|    0.019|    0.902|   -4.273|   -1.099|   -0.244|    1.516|    0.561|   -0.192|
    1.618|   -0.005|    0.016|    0.902|   -3.539|   -0.916|   -0.122|    1.428|    0.538|   -0.198|
    1.639|   -0.006|    0.016|    0.899|   -2.562|   -0.732|   -0.061|   -0.005|    0.527|   -0.198|
    1.660|   -0.006|    0.019|    0.898|   -1.893|   -0.549|   -0.122|   -2.719|   -1.352|    0.011|
    1.681|   -0.002|    0.010|    0.901|   -2.502|   -1.099|   -3.418|   -0.066|    0.505|   -0.203|
    1.702|   -0.007|    0.017|    0.900|   -1.831|   -0.671|   -0.244|   -0.209|    0.450|   -0.319|
    1.724|   -0.005|    0.015|    0.900|    0.000|    0.000|    0.061|   -0.275|    0.417|   -0.335|
    1.745|    0.023|   -0.046|   -0.004|    0.000|    0.000|    0.061|   -0.319|    0.412|   -0.439|
    1.766|    0.018|    0.021|    0.896|   -3.113|   -0.977|   -2.258|   -0.352|    0.401|   -0.461|
    1.787|   -0.022|    0.005|    0.901|   -2.562|   -0.793|   -2.137|   -0.374|    0.374|   -0.483|
    1.808|   -0.022|    0.005|    0.901|   -2.562|   -0.793|   -2.137|   -0.374|    0.374|   -0.483|
    1.829|    0.022|   -0.047|   -0.007|   -2.320|   -0.732|   -4.762|   -0.423|    0.385|   -0.599|
    1.850|    0.021|   -0.045|   -0.009|   -2.930|   -0.916|   -1.221|   -0.483|    0.346|   -0.626|
    1.871|   -0.006|    0.008|    0.897|   -2.930|   -0.916|   -4.395|   -0.577|    0.330|   -5.031|
    1.892|    0.017|    0.019|    0.901|   -0.793|   -0.305|   -4.457|   -0.648|    0.319|   -5.086|
    1.913|   -0.014|   -0.003|    0.897|   -0.671|   -0.183|   -7.508|    0.643|    0.291|   -5.547|
    1.934|   -0.004|    0.002|    0.900|    1.648|    0.488|   -1.281|    0.665|    0.302|   -5.594|
    1.955|   -0.003|    0.009|    0.901|    1.221|    0.427|   -0.183|    0.687|    0.308|   -5.609|
    1.976|   -0.005|    0.007|    0.899|    0.916|    0.305|   -0.061|   -0.703|    0.313|   -5.613|
    1.997|   -0.004|    0.008|    0.899|    0.000|    0.000|    0.061|   -0.687|    0.319|   -5.613|
    2.018|   -0.004|    0.007|    0.901|    0.488|    0.183|    0.000|   -0.670|    0.324|   -5.613|
    2.039|   -0.004|    0.007|    0.900|    0.061|    0.061|   -0.061|   -0.670|    0.330|   -5.613|
    2.060|   -0.004|    0.007|    0.900|    0.244|    0.061|   -0.061|   -0.670|    0.330|   -5.613|
    2.081|   -0.003|    0.008|    0.898|    0.244|    0.061|    0.000|   -0.670|    0.324|   -5.613|
    2.103|   -0.004|    0.008|    0.902|   -0.183|   -0.061|    0.000|   -0.676|    0.324|   -5.613|
    2.124|   -0.004|    0.008|    0.897|   -0.244|    0.000|    0.000|   -0.687|    0.324|   -5.613|
    2.145|   -0.003|    0.010|    0.899|   -0.061|   -0.061|    0.000|   -0.692|    0.319|   -5.613|
    2.166|   -0.004|    0.010|    0.899|    0.061|    0.061|    0.000|   -0.698|    0.319|   -5.613|
    2.187|   -0.004|    0.009|    0.901|    0.061|    0.061|   -0.061|   -0.698|    0.319|   -5.613|
    2.208|   -0.003|    0.011|    0.896|    0.122|    0.061|    0.000|   -0.698|    0.324|   -5.613|
    2.229|   -0.005|    0.010|    0.899|   -0.122|    0.000|    0.000|   -2.713|   -1.352|    0.011|
    2.250|   -0.004|    0.008|    0.900|    0.000|    0.000|    0.000|    0.698|    0.319|   -5.613|
    2.271|   -0.003|    0.008|    0.898|   -0.488|   -0.183|   -0.061|    0.687|    0.319|   -5.613|
    2.292|   -0.004|    0.010|    0.901|   -0.183|    0.000|   -0.061|    0.676|    0.313|   -5.621|
    2.313|   -0.005|    0.008|    0.898|   -0.122|    0.000|   -0.061|    0.670|    0.313|   -5.621|
    2.334|   -0.005|    0.009|    0.898|   -0.366|   -0.061|   -0.061|    0.665|    0.313|   -5.621|
    2.355|   -0.007|    0.007|    0.899|   -0.061|    0.000|    0.000|    0.654|    0.313|   -5.621|
    2.376|   -0.004|    0.009|    0.902|   -0.183|    0.000|   -0.061|    0.648|    0.313|   -5.621|
    2.397|    0.022|   -0.047|   -0.008|   -0.305|   -0.061|    0.000|   -2.713|   -1.346|    0.011|
    2.418|   -0.004|    0.008|    0.900|   -0.183|    0.000|    0.000|    0.637|    0.308|   -5.621|
    2.439|   -0.004|    0.008|    0.900|   -0.122|    0.000|    0.000|    0.637|    0.308|   -5.621|
    2.460|   -0.004|    0.009|    0.899|   -0.061|    0.061|    0.000|    0.632|    0.308|   -5.621|
    2.481|   -0.004|    0.006|    0.900|   -0.061|    0.061|    0.000|    0.632|    0.308|   -5.621|
    2.502|   -0.005|    0.009|    0.899|   -0.061|    0.061|    0.000|    0.626|    0.308|   -5.621|
    2.523|   -0.004|    0.009|    0.901|    0.000|    0.000|    0.000|   -2.719|   -1.352|    0.011|
    2.544|   -0.003|    0.007|    0.899|   -0.183|    0.000|   -0.061|    0.610|    0.308|   -5.625|
    2.565|   -0.005|    0.008|    0.900|   -0.244|   -0.061|   -0.061|    0.604|    0.302|   -5.625|
    2.586|   -0.004|    0.007|    0.900|   -0.549|   -0.122|    0.000|   -2.725|   -1.346|    0.011|
    2.607|   -0.002|    0.008|    0.900|   -0.671|   -0.183|   -0.061|    0.588|    0.297|   -5.625|
    2.628|   -0.004|    0.007|    0.898|   -0.732|   -0.183|   -0.061|    0.582|    0.297|   -5.625|
    2.649|   -0.003|    0.008|    0.898|   -0.427|   -0.122|    0.000|   -2.725|   -1.346|    0.011|
    2.670|   -0.005|    0.007|    0.902|   -0.122|    0.061|    0.000|    0.555|    0.286|   -0.005|
    2.691|   -0.005|    0.007|    0.900|   -0.305|   -0.061|   -0.061|    0.549|    0.286|   -0.005|
    2.712|   -0.002|    0.006|    0.901|   -0.427|   -0.122|   -0.061|    0.538|    0.286|   -0.005|
    2.733|   -0.004|    0.005|    0.900|   -0.305|   -0.061|    0.000|    0.533|    0.280|   -0.005|
    2.754|   -0.004|    0.009|    0.899|    0.061|    0.000|   -0.061|    0.522|    0.280|   -0.005|
    2.775|   -0.004|    0.008|    0.899|    0.183|    0.061|    0.000|    0.527|    0.280|   -0.005|
    2.796|   -0.004|    0.008|    0.899|   -0.061|    0.061|    0.000|    0.527|    0.280|   -0.005|
    2.817|   -0.004|    0.009|    0.900|    0.000|    0.061|    0.000|    0.527|    0.280|   -0.005|
    2.838|   -0.005|    0.007|    0.900|    0.000|   -0.061|    0.000|   -2.730|   -1.352|    0.011|
    2.859|   -0.005|    0.009|    0.899|    0.427|    0.183|   -0.061|    0.533|    0.286|   -0.011|
    2.880|   -0.002|    0.007|    0.900|    0.977|    0.305|    0.000|    0.549|    0.291|   -0.011|
    2.901|   -0.005|    0.012|    0.901|    1.953|    0.610|    0.000|    0.561|    0.291|   -0.011|
    2.922|   -0.008|    0.005|    0.900|    1.099|    0.427|    0.000|    0.582|    0.302|   -0.011|
    2.943|   -0.004|    0.013|    0.897|    0.488|    0.183|    4.820|    0.610|    0.330|   -5.625|
    2.964|    0.001|    0.009|    0.898|    1.099|    0.427|    2.320|    0.637|    0.319|   -5.445|
    2.985|   -0.006|    0.010|    0.899|    1.465|    0.488|    0.916|    0.665|    0.330|   -5.422|
    3.006|    0.012|    0.008|    0.899|    0.061|    0.122|    7.691|   -0.703|    0.357|   -5.359|
    3.027|   -0.002|    0.014|    0.897|    1.281|    0.427|    4.395|   -0.687|    0.357|   -5.242|
    3.048|   -0.007|    0.011|    0.899|    0.549|    0.244|    5.922|   -0.676|    0.352|   -5.121|
    3.069|    0.001|    0.015|    0.899|    0.793|    0.366|    3.051|   -0.654|    0.363|   -5.059|
    3.090|    0.001|    0.015|    0.899|    0.793|    0.366|    3.051|   -0.654|    0.363|   -5.059|
    3.111|   -0.005|    0.014|    0.901|    0.916|    0.366|    2.074|   -0.632|    0.374|   -4.961|
    3.132|   -0.003|    0.013|    0.897|   -0.061|    0.061|    3.602|   -0.632|    0.368|   -0.670|
    3.153|   -0.004|    0.013|    0.900|    0.183|    0.122|    0.793|   -0.615|    0.374|   -0.637|
    3.174|   -0.006|    0.012|    0.899|    0.244|    0.122|    0.610|   -0.615|    0.374|   -0.610|
    3.195|   -0.012|    0.015|    0.899|   -0.061|    0.061|    1.404|   -0.610|    0.379|   -0.588|
    3.216|   -0.002|    0.016|    0.899|    0.183|    0.122|    1.770|   -0.610|    0.374|   -0.544|
    3.237|    0.003|    0.011|    0.898|   -0.366|   -0.061|    2.502|   -0.615|    0.368|   -0.494|
    3.258|   -0.003|    0.013|    0.899|    0.366|    0.183|    0.427|   -0.610|    0.368|   -0.483|
    3.279|   -0.003|    0.013|    0.899|    0.366|    0.183|    0.427|   -0.610|    0.368|   -0.483|
    3.300|   -0.002|    0.014|    0.898|    0.305|    0.183|    1.831|   -0.615|    0.368|   -0.412|
    3.321|   -0.016|    0.012|    0.897|    0.366|    0.122|    0.671|   -0.604|    0.368|   -0.390|
    3.342|    0.003|    0.014|    0.899|   -0.122|    0.061|    1.893|   -0.604|    0.379|   -0.368|
    3.363|   -0.002|    0.013|    0.894|    0.061|    0.061|    0.793|   -0.610|    0.374|   -0.308|
    3.384|   -0.006|    0.014|    0.900|    0.122|    0.061|    0.671|   -0.610|    0.368|   -0.286|
    3.405|   -0.025|    0.009|    0.901|    0.427|    0.183|    0.122|   -0.599|    0.374|   -0.280|
    3.426|    0.004|    0.012|    0.896|   -1.404|   -0.244|    7.445|   -0.610|    0.379|   -0.198|
    3.447|    0.023|   -0.048|   -0.004|    0.671|    0.183|    1.953|   -0.610|    0.374|   -0.121|
    3.468|    0.002|    0.010|    0.899|   -0.610|    0.000|    7.078|   -0.621|    0.374|   -0.011|
    3.489|   -0.003|    0.012|    0.898|    0.366|    0.183|    2.809|   -0.615|    0.368|   -4.152|
    3.510|   -0.005|    0.013|    0.898|    0.549|    0.244|    1.893|   -0.604|    0.374|   -4.074|
    3.532|   -0.009|    0.012|    0.899|    0.916|    0.366|    0.732|   -0.593|    0.379|   -4.070|
    3.553|   -0.027|    0.010|    0.901|    0.305|    0.183|    2.502|   -0.593|    0.390|   -4.043|
    3.574|   -0.011|    0.008|    0.901|    0.000|   -0.061|    0.061|   -2.730|   -1.346|    0.011|
    3.595|   -0.005|    0.014|    0.900|    0.000|    0.122|    5.922|   -0.626|    0.379|   -3.549|
    3.616|   -0.003|    0.012|    0.899|    0.427|    0.183|    2.258|   -0.626|    0.374|   -0.687|
    3.637|   -0.009|    0.010|    0.901|    0.244|    0.122|    2.320|   -0.621|    0.379|   -0.654|
    3.658|    0.006|    0.022|    0.899|   -2.502|   -0.549|   -5.066|   -0.626|    0.385|   -0.582|
    3.679|   -0.007|    0.012|    0.899|    0.916|    0.366|    1.770|   -0.648|    0.368|   -0.417|
    3.700|    0.001|    0.010|    0.898|   -2.197|   -0.366|   -3.051|   -0.659|    0.374|   -0.280|
    3.721|    0.005|    0.021|    0.897|   -0.916|   -0.183|   -6.652|   -0.681|    0.368|   -0.154|
    3.742|   -0.002|    0.014|    0.900|   -0.061|    0.000|    0.122|   -0.681|    0.357|   -0.066|
    3.763|    0.022|   -0.047|   -0.003|    0.977|    0.305|    1.221|   -0.659|    0.357|   -0.022|
    3.784|   -0.004|    0.013|    0.897|    0.427|    0.122|    1.099|   -0.648|    0.363|   -2.785|
    3.805|   -0.006|    0.011|    0.904|    0.244|    0.122|    0.122|   -0.643|    0.363|   -2.779|
    3.826|   -0.005|    0.013|    0.900|    0.183|    0.061|    0.061|   -0.637|    0.363|   -2.779|
    3.847|   -0.003|    0.013|    0.900|    0.000|    0.000|    0.000|   -0.632|    0.363|   -2.779|
    3.868|   -0.006|    0.013|    0.899|   -0.183|    0.000|    0.000|   -0.637|    0.363|   -2.779|
    3.889|   -0.006|    0.011|    0.898|   -0.183|    0.000|    0.000|   -0.637|    0.363|   -2.779|
    3.910|   -0.005|    0.013|    0.898|   -0.122|    0.000|    0.000|   -0.643|    0.363|   -2.779|
    3.931|   -0.005|    0.011|    0.899|   -0.061|    0.061|    0.000|   -0.643|    0.363|   -2.779|
    3.952|   -0.007|    0.013|    0.899|    0.000|   -0.061|    0.000|   -0.648|    0.363|   -2.779|
    3.973|   -0.006|    0.013|    0.900|   -0.061|    0.000|    0.000|   -0.654|    0.363|   -2.779|
    3.994|   -0.006|    0.013|    0.900|   -0.122|    0.000|    0.000|   -0.654|    0.363|   -2.779|
    4.015|   -0.005|    0.011|    0.898|   -0.122|    0.000|   -0.061|   -0.654|    0.363|   -2.779|
    4.036|   -0.004|    0.013|    0.898|   -0.244|   -0.061|   -0.061|   -0.659|    0.363|   -2.779|
    4.057|   -0.005|    0.012|    0.899|   -0.427|   -0.061|   -0.061|   -0.665|    0.357|   -2.779|
    4.078|   -0.006|    0.014|    0.900|   -0.488|   -0.061|    0.000|   -0.676|    0.357|   -2.779|
    4.099|   -0.005|    0.011|    0.899|   -0.366|    0.000|    0.000|   -0.681|    0.357|   -2.779|
    4.120|   -0.006|    0.014|    0.898|   -0.366|   -0.061|    0.000|   -0.687|    0.357|   -2.779|
    4.141|    0.024|   -0.046|   -0.005|   -0.427|   -0.122|    0.000|   -0.698|    0.352|   -2.779|
    4.162|   -0.006|    0.010|    0.902|   -0.671|   -0.122|    0.000|    0.698|    0.346|   -2.779|
    4.183|   -0.006|    0.010|    0.897|    0.000|    0.000|    0.061|    0.681|    0.341|   -2.785|
    4.204|    0.024|   -0.049|   -0.005|   -0.610|   -0.122|    0.000|   -2.719|   -1.352|    0.011|
    4.225|   -0.004|    0.011|    0.902|   -0.732|   -0.122|    0.000|    0.654|    0.335|   -2.785|
    4.246|   -0.003|    0.009|    0.898|   -0.488|   -0.122|   -0.061|   -2.719|   -1.352|    0.011|
    4.267|   -0.005|    0.012|    0.901|   -0.061|    0.000|    0.000|   -2.719|   -1.352|    0.011|
    4.288|   -0.004|    0.009|    0.900|    0.061|    0.000|    0.000|    0.632|    0.330|   -2.785|
    4.309|   -0.005|    0.012|    0.902|    0.549|    0.183|   -0.061|    0.637|    0.330|   -2.785|
    4.330|   -0.004|    0.009|    0.899|    0.916|    0.244|   -0.061|    0.659|    0.335|   -2.785|
    4.351|   -0.000|    0.013|    0.901|    2.502|    0.610|    0.061|    0.698|    0.368|   -2.785|
    4.372|   -0.000|    0.013|    0.901|    2.502|    0.610|    0.061|    0.698|    0.368|   -2.785|
    4.393|    0.011|    0.000|    0.908|    7.445|    1.831|    5.066|   -0.561|    0.401|   -2.664|
    4.414|    0.023|   -0.046|   -0.004|   -6.836|    2.562|    5.797|   -0.478|    0.412|   -2.609|
    4.435|    0.021|   -0.048|   -0.007|   17.391|    1.037|    1.404|   -0.192|    0.445|   -2.564|
    4.456|   -0.005|    0.060|    0.927|   -3.297|   -1.099|    0.488|   -2.719|   -1.346|    0.011|
    4.477|   -0.010|   -0.021|   -0.045|   -3.662|   -3.297|   -5.309|   -0.313|    0.423|   -2.543|
    4.498|   -0.004|    0.147|    0.920|   -2.074|   -4.395|   -7.812|   -0.115|    0.313|   -2.736|
    4.519|   -0.012|    0.178|   -0.034|   -1.160|   -5.797|  -12.820|   10.500|    0.165|   -0.264|
    4.540|    0.022|   -0.046|   -0.005|   -0.061|   -0.061|    0.000|   13.125|    0.253|   -0.571|
    4.561|   -0.010|   -0.058|    0.878|   -4.699|   -5.125|   -0.366|   15.836|    0.467|   -3.664|
    4.582|   -0.005|   -0.046|    0.892|  126.062|   -5.980|  -13.000|   17.219|    0.610|   -3.791|
    4.603|   -0.002|   -0.018|   -0.004|   99.000|   -0.732|   -8.914|   -2.719|   -1.340|    0.011|
    4.624|   -0.057|    0.401|   -0.000|  116.062|   -2.441|  -14.102|   21.641|   -0.588|   -4.160|
    4.645|    0.003|   -0.038|   -0.042|  175.625|   32.281|   -2.746|   -0.538|   -0.011|   -0.423|
    4.666|    0.029|    0.435|   -0.042|  115.562|   34.438|   -3.602|   -0.143|    1.812|   -0.582|
    4.687|   -0.017|    0.420|   -0.044|   47.656|   -5.980|   -2.502|   -0.374|   -0.577|   -4.949|
    4.708|   -0.053|    0.508|   -0.001|   48.938|   -0.977|  -10.742|   -2.719|   -1.346|    0.011|
    4.729|   -0.057|    0.537|    0.763|   37.281|   -2.869|  -13.852|   -0.615|   -0.247|   -5.312|
    4.750|    0.024|   -0.048|   -0.005|   18.984|  -11.414|   -4.820|   32.500|   -0.275|   -5.598|
    4.771|    0.024|   -0.048|   -0.005|   18.984|  -11.414|   -4.820|   32.500|   -0.275|   -5.598|
    4.792|   -0.046|    0.545|    0.777|   -2.562|  -15.500|    0.977|   32.469|   -0.665|   -0.258|
    4.813|   -0.056|    0.538|    0.771|    0.000|    0.061|    0.061|   -2.719|   -1.346|    0.011|
    4.834|   -0.053|    0.536|    0.797|   -3.174|   -1.770|   -7.691|   -0.363|    2.916|   -0.401|
    4.855|   -0.022|    0.513|   -0.046| -119.938|  -28.312|   -5.434|   28.188|    2.094|   -0.527|
    4.876|   -0.050|   -0.040|    0.924| -213.500|  -27.281|   -2.809|   25.422|    1.538|   -0.527|
    4.898|   -0.018|    0.381|   -0.024| -279.750|  -45.281|   53.031|   -0.236|    0.681|   -0.143|
    4.918|   -0.005|    0.137|    0.915|   -2.258|  -74.250|   70.188|   -0.566|   -0.654|   -5.039|
    4.940|    0.031|    0.043|   -0.024| -341.250|  -86.688|   -2.381|   -0.494|   -2.504|   -3.977|
    4.961|   -0.041|   -0.011|   -0.050| -228.125|  -90.062|   64.312|   -0.527|   -0.445|   -2.791|
    4.982|    0.137|   -0.110|   -0.033| -202.125|  -73.938|   -6.773|   -0.099|   -0.093|   -0.978|
    5.003|    0.137|   -0.110|   -0.033| -202.125|  -73.938|   -6.773|   -0.099|   -0.093|   -0.978|
    5.024|    0.163|   -0.231|   -0.011| -185.125|   -0.244|   -7.629|   -0.599|   -0.555|    0.588|
    5.045|    0.184|   -0.056|   -0.041|   -7.570|  -29.844|   18.734|  -14.828|   -0.291|    1.593|
    5.066|    0.184|   -0.313|   -0.033|   -7.387|   -2.441|    7.387|  -16.828|  -10.719|    1.967|
    5.088|   -0.060|   -0.338|   -0.039|   -7.629|  -41.250|    0.793|   -0.357|   -0.198|   -0.571|
    5.109|   -0.022|   -0.002|   -0.003|  -92.938|   -7.750|   -2.502|  -20.625|  -12.445|   -0.258|
    5.130|   -0.006|   -0.046|    0.761|  -59.562|   -6.043|   -8.242|   -0.643|  -13.891|    2.928|
    5.151|    0.278|   -0.032|    0.768|   -0.610|   -6.348|   -2.562|  -23.734|   -0.461|    2.834|
    5.172|    0.254|   -0.360|   -0.056|   47.438|   -0.854|  -29.359|   -0.637|  -14.945|   -0.406|
    5.193|   -0.015|   -0.339|   -0.048|   -7.812|   -0.916|   -6.285|   -0.291|  -15.039|    1.609|
