2017-10-29 23:18:22
  Time(s)|    ax(g)|    ay(g)|    az(g)|wx(deg/s)|wy(deg/s)|wz(deg/s)|AglX(deg)|AglY(deg)|AglZ(deg)|
    1.135|   -0.020|    0.646|   -0.046|   -2.625|   -0.671|   -1.465|   56.625|   -0.379|  -34.906|
    1.156|   -0.033|    0.172|    0.041|   -1.160|   -3.539|   -2.502|   -0.242|   -0.588|   -0.071|
    1.177|   -0.033|    0.046|   -0.313|   -7.078|  -87.438|   -7.691|   -0.396|   -0.038|  -37.875|
    1.198|    1.633|   -0.092|   -0.034|   -7.078|   -6.469|  -26.859|  -49.188|  -25.125|   -0.489|
    1.219|    1.271|   -0.083|   -0.041| -120.500| -117.750|  -92.125| -179.750|   -0.286|  -36.250|
    1.240|   -0.048|   -0.052|   -0.949|   -2.381|   -0.977|   -5.434|   -0.626|  -38.938|  -32.344|
    1.261|    0.419|   -0.052|   -0.867|   -6.227|   -6.348|   -7.508|   -0.626|  -38.938|  -32.344|
    1.282|    0.419|   -0.052|   -0.867|   -6.227|   -6.348|   -7.508|   -0.626|  -38.938|  -32.344|
    1.303|    0.419|   -0.052|   -0.867|   -6.227|   -6.348|   -7.508|   -0.626|  -38.938|  -32.344|
    1.324|    0.419|   -0.052|   -0.867|   -6.227|   -6.348|   -7.508|   -0.626|  -38.938|  -32.344|
    1.345|    0.419|   -0.052|   -0.867|   -6.227|   -6.348|   -7.508|   -0.626|  -38.938|  -32.344|
    1.366|   -0.002|   -0.044|   -0.012| -276.750|   -3.297|  -25.031|  137.875|  -34.719|   -0.654|
    1.387|   -0.061|    0.807|    1.537|   -6.594|   -6.773|   -2.074|   -0.082|   -0.341|  -24.891|
    1.408|   -0.016|    0.793|   -0.012|   -6.957|   63.062|   -0.427|   -0.220|   -0.500|   -0.044|
    1.429|    0.929|    0.643|   -0.015|   63.062|   -5.859|  204.250|  125.625|   -0.181|   -0.374|
    1.450|    0.929|    0.643|   -0.015|   63.062|   -5.859|  204.250|  125.625|   -0.181|   -0.374|
    1.471|   -0.003|    0.558|    1.518|   -0.671|   66.375|   -6.164|  129.750|  -51.656|   -0.648|
    1.492|   -0.003|    0.558|    1.518|   -0.671|   66.375|   -6.164|  129.750|  -51.656|   -0.648|
    1.513|   -0.020|    0.166|   -0.049|  234.500|   38.562|   96.938|  135.250|   -0.588|   -0.478|
    1.534|   -0.020|    0.166|   -0.049|  234.500|   38.562|   96.938|  135.250|   -0.588|   -0.478|
    1.555|   -0.020|    0.166|   -0.049|  234.500|   38.562|   96.938|  135.250|   -0.588|   -0.478|
    1.576|   -0.062|    0.150|   -0.037|   -3.906|   -5.980|   62.625|  138.000|  -54.531|  -30.656|
    1.597|   -0.062|    0.150|   -0.037|   -3.906|   -5.980|   62.625|  138.000|  -54.531|  -30.656|
    1.618|   -0.062|    0.150|   -0.037|   -3.906|   -5.980|   62.625|  138.000|  -54.531|  -30.656|
    1.639|   -0.007|    1.254|    0.657|  203.875|  -10.562|   17.766|   -0.286|  -54.562|   -0.060|
    1.660|    1.526|    0.051|   -0.035|   -1.648|  -73.438| -124.312|  144.125|   -0.505|  -29.219|
    1.681|   -0.060|   -0.022|   -0.593|   -1.831| -167.875|   -4.762| -167.375|  -47.625|  -13.969|
    1.702|   -0.010|    0.180|   -0.048| -338.000|   -7.629|  -46.219|  160.625|   -0.115|   -7.738|
    1.723|   -0.845|   -0.055|   -0.047| -357.500|   -7.570|   -1.831|  153.500|   -0.137|   -0.676|
    1.744|    0.153|    0.392|    2.434|  -11.539|  172.375|   -5.859|   -0.478|   -0.472|   -0.324|
    1.765|   -0.031|   -0.093|   -0.027|   -4.945|  240.250|  204.000|   -0.341|  -73.062|  -15.219|
    1.786|   -0.038|   -0.018|   -0.020|  205.375|   -7.570|   -5.738|   -0.654|  -68.812|   -0.352|
    1.807|    1.514|    0.180|    1.266|   -6.957|   -3.785|   -7.629|   -0.247|   -0.450|   -6.938|
    1.828|   -0.062|   -0.057|    0.560|   -2.258| -199.750|   -0.671|   11.789|   -0.099|   -0.472|
    1.849|    0.304|   -0.084|    0.165|    1.160| -212.625|   -5.676|   -0.319|   -0.571|   -0.121|
    1.870|    0.304|   -0.084|    0.165|    1.160| -212.625|   -5.676|   -0.319|   -0.571|   -0.121|
    1.891|    0.304|   -0.084|    0.165|    1.160| -212.625|   -5.676|   -0.319|   -0.571|   -0.121|
    1.912|    0.273|   -0.062|   -0.030|  -42.344|   -7.570|   -3.602|   -0.231|   -0.450|   -0.604|
    1.933|   -0.011|   -0.007|   -0.047| -138.250| -183.125| -123.812|   66.250|  -79.562|  -72.750|
    1.955|   -0.705|    0.382|    0.424| -217.250|   -6.531|   82.000|   -0.538|  -81.188|   -0.154|
    1.976|   -0.465|    0.646|   -0.026| -186.500|  176.750|   -4.211|   47.938|  -84.188|   -0.225|
    1.997|    0.381|    0.416|    1.790|  -12.516|   -5.434|  190.625|  -23.828|   -0.148|   -0.901|
    2.018|    1.045|   -0.047|    1.535|   -0.854|  130.125|   -6.652|   -0.681|   -0.291|   -0.599|
    2.039|    1.520|   -0.112|    1.291|   -5.797|   99.688|  113.688|  -36.406|   -0.330|   -0.022|
    2.060|   -0.042|   -0.204|    0.764|   -2.809|   21.484|   -2.258|   -0.626|   -0.352|   -0.225|
    2.081|    1.048|   -0.247|   -0.029|  111.125|   -4.027|   -4.578|   -0.368|   -0.698|   20.312|
    2.102|   -0.012|   -0.189|   -0.034|   -3.662|   -4.457|   -3.723|  -31.734|   -0.396|   -0.527|
    2.123|   -0.062|   -0.014|   -0.039|   -7.691|   -0.793|  -60.125|  -30.906|  -67.188|   19.906|
    2.144|   -0.059|   -0.027|   -0.022|  -41.438|   18.562|   -1.221|   -0.225|  -69.938|    7.395|
    2.165|   -0.001|    0.025|   -0.017| -107.562|   -1.770| -124.062|  -16.328|   -0.044|    2.840|
    2.186|   -0.205|   -0.056|    0.539| -166.375|   -0.793|   -4.699|  -13.539|  -71.500|   -2.785|
    2.207|   -0.246|    0.278|   -0.007|   -7.629|   -5.676|   -7.020|  -13.758|  -72.625|   -0.494|
    2.228|   -0.044|   -0.053|    1.506|   -1.953|   -2.320|  -25.266|  -13.977|  -73.125|   -0.654|
    2.249|   -0.211|   -0.047|   -0.054|   -0.916|   -1.281|   -6.227|   -0.439|  -72.750|  -10.578|
    2.270|   -0.103|   -0.048|    1.291|  -45.469|   83.188|   37.344|  -14.938|   -0.396|  -10.789|
    2.291|    0.150|    0.187|    1.137|  -43.281|   69.812|   -3.357|  -24.812|   -0.148|   -2.312|
    2.312|   -0.725|    0.644|   -0.045|   -0.244|   -0.549|  159.875|   -0.319|   -0.604|   -0.275|
    2.333|    0.633|    0.026|   -0.015|   18.062|   68.562|   83.688|  -33.625|  -63.062|   -0.385|
    2.354|    0.675|   -0.248|    1.131|   18.062|   -4.148|   -2.137|  -33.062|  -61.875|   -0.582|
    2.375|   -0.006|   -0.250|   -0.015|    5.066|   -0.549|   -1.770|   -0.291|   -0.324|    6.230|
